account,date,closed_pnl,size_usd,trade_count,classification,loss_flag,next_day_pnl,profit_bucket
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-08,246.8944,2155.8880769230773,26,Extreme Fear,0,2975.927732,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-09,2975.927732,3494.2455444305383,799,Extreme Fear,0,-372.76464,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-10,-372.76464,6134.571428571428,105,Fear,1,2550.108815,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-11,2550.108815,2348.0045519713262,279,Fear,0,303.170149,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-12,303.170149,3633.2355833333336,120,Fear,0,355.09,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-13,355.09,4544.766489361702,94,Neutral,0,425.687612,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-17,425.687612,7388.688823529412,34,Fear,0,119.0,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-22,119.0,36540.202000000005,5,Neutral,0,,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-17,0.0,2142.7757142857145,14,Extreme Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-18,0.0,4999.94,1,Extreme Greed,0,453.853206,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-27,453.853206,862.0348275862068,29,Greed,0,343.092145,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-28,343.092145,4999.89,1,Greed,0,768.814445,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-29,768.814445,1918.2925,4,Greed,0,1211.511836,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-30,1211.511836,946.8850000000001,6,Greed,0,306.563532,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-31,306.563532,342.82,3,Greed,0,739.18423,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-02,739.18423,1004.1633333333334,3,Greed,0,-179.521683,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-22,-179.521683,1873.8216666666667,6,Extreme Greed,1,-18956.391598000002,0
